timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
17564787,17564494,0.99998236,0.0057617673,-0.0011562855,-0.0009130981,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17613681,17613338,0.9999848,0.005356865,-0.00054578047,-0.0011847013,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17661802,17661500,0.9999845,0.005310711,-0.0007400051,-0.0015154643,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17713384,17713099,0.9999838,0.005698611,-0.000140321,-0.00040217605,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17765377,17765087,0.9999838,0.005542879,0.00030269637,-0.0012919115,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17813053,17812765,0.9999841,0.005338268,0.0008782582,-0.0016302663,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17864853,17864558,0.99998665,0.0049066925,0.00051557564,-0.0015365296,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17912882,17912582,0.9999811,0.005750922,0.0005122381,-0.0021191072,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
17961923,17961634,0.999985,0.004854635,0.00076257443,-0.0024616772,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18013461,18013172,0.9999797,0.0055746986,0.0011374434,-0.002874694,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18065394,18065106,0.99997693,0.0058889627,0.0009988865,-0.0032277855,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18112977,18112691,0.99997765,0.0061788834,0.00026339345,-0.002559167,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18160938,18160638,0.99997574,0.0063882265,0.00027993176,-0.0027566745,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18212916,18212622,0.99997115,0.006920527,0.0006185181,-0.0030687086,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18265772,18265472,0.9999694,0.007150667,0.0006943124,-0.0030945144,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18312947,18312660,0.9999712,0.007110119,0.0008283502,-0.002523771,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18360846,18360383,0.99997306,0.00671851,0.00022668343,-0.0029427412,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18413408,18413121,0.9999745,0.006557381,-0.00056517,-0.0028193218,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18465244,18464949,0.9999765,0.006353993,-0.0004430109,-0.0025629841,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18513070,18512781,0.9999749,0.00629609,-0.00071611843,-0.0031864669,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18560879,18560574,0.999974,0.0061956923,-0.0011143364,-0.0035190857,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18613012,18612725,0.9999734,0.0064659766,-0.0016080681,-0.00297404,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18661849,18661443,0.9999714,0.0068578087,-0.0017970992,-0.0026666687,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18713598,18713307,0.99997246,0.0065806424,-0.00211544,-0.0026939653,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18765196,18764904,0.9999702,0.00669436,-0.0030135103,-0.0023796125,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18812850,18812542,0.9999695,0.0070908153,-0.0025492562,-0.0020503204,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18861814,18861521,0.99996585,0.007618508,-0.0030077428,-0.001128425,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18913528,18913234,0.9999721,0.006746357,-0.003149097,-0.0006044703,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
18965507,18965216,0.9999772,0.0062233945,-0.002612312,0.0004256039,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19013475,19013188,0.99996984,0.0069136233,-0.003368136,0.0011003242,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19061128,19060844,0.99997437,0.0062375325,-0.0034550452,0.00067769154,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19113242,19112845,0.99997604,0.0059740082,-0.0035009931,0.00019550213,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19165018,19164731,0.9999767,0.006176119,-0.0028829088,0.000408857,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19212947,19212657,0.9999798,0.005104289,-0.003810702,9.639187e-05,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19261859,19261560,0.9999865,0.004515408,-0.00256254,-0.00034261597,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19313457,19313170,0.9999896,0.0037263785,-0.0024177309,-0.001046511,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19361329,19361038,0.9999889,0.004152902,-0.0020503134,-0.0008936212,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19413319,19413033,0.99998796,0.0042640334,-0.0023066357,-0.0007381563,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19465764,19465462,0.9999847,0.0046572383,-0.002814858,-0.0010925987,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19512977,19512691,0.9999862,0.004708216,-0.0019536589,-0.0013146796,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19560876,19560577,0.9999838,0.0050646965,-0.0022713593,-0.0012641094,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19609874,19609581,0.99998355,0.0047251605,-0.0022717747,-0.0023333214,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19665730,19665390,0.99998367,0.004713661,-0.002880664,-0.0015135767,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19713996,19713703,0.9999825,0.0052750353,-0.0020813888,-0.0017392108,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19761341,19761054,0.9999828,0.005395344,-0.002126518,-0.00097275426,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19813269,19812861,0.99998575,0.0048647607,-0.0021996053,-0.00037383736,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19865143,19864855,0.9999866,0.0042983294,-0.0029190634,-3.4075914e-05,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19912877,19912585,0.99999326,0.0026749107,-0.0024010732,0.00069216086,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
19965013,19964722,0.99999183,0.0035075292,-0.0019866603,0.00036899094,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20013391,20013100,0.9999951,0.0030201562,-0.0007909168,0.00020466064,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20061483,20061179,0.99999535,0.003011256,0.0001311044,-0.0004233477,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
20113208,20112917,0.9999965,0.002618233,0.00016836083,-0.00047757954,0.9986445,8.3789947e-10,-4.9280435e-10,-0.05205085,2
