timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
15422027,15421287,0,nan,nan,0.055496953,0.08536478,1.0331676,0.0,0.0,0.0,0.11794518,0.14671662,-0.17783861,-0.43443525,0.0016646442,-0.0008497321,0.0,0.102245934,0.16681685,-0.2366414,-0.018877314,-0.10414876,nan,0.18122733,0.4239235,0.7575644,0.53113145,0.38072714,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
15521674,15521053,0,nan,nan,0.061276074,0.08819073,1.0004834,0.0,0.0,0.0,0.13202658,0.15546894,-0.19067422,-0.4341712,0.0016646442,-0.0008497321,0.0,0.12205366,0.1102442,0.273014,-0.018845636,-0.10414876,nan,0.13884401,0.46565172,0.7540788,0.57160723,0.37666383,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
15621414,15620799,0,nan,nan,0.066939875,0.090464845,0.9729505,0.0,0.0,0.0,0.14309585,0.16577998,-0.19650656,-0.42264068,0.0016646442,-0.0008497321,0.0,0.15442222,0.32345206,0.057537116,-0.018038236,-0.10414876,nan,0.18094331,0.42173076,0.75059074,0.5506864,0.37263006,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
15725361,15724641,0,nan,nan,0.073828004,0.09469524,0.95821506,0.0,0.0,0.0,0.1479039,0.16639322,-0.20409149,-0.40098292,0.0016646442,-0.0008497321,0.0,0.40839115,-0.032880824,0.015628714,-0.01840118,-0.10414876,nan,0.18354148,0.46551266,0.7470998,0.59246206,0.36862656,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
15818179,15817366,0,nan,nan,0.07914265,0.09722577,0.95148045,0.0,0.0,0.0,0.1574689,0.16943169,-0.21798187,-0.38367763,0.0016646442,-0.0008497321,0.0,0.28204495,0.30417502,-0.024790447,-0.019516531,-0.10414876,nan,0.24965173,0.4190723,0.7405616,0.56271267,0.36386013,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
15921772,15921154,0,nan,nan,0.084717155,0.09932668,0.9658867,0.0,0.0,0.0,0.16070674,0.17163108,-0.20877129,-0.32049978,0.0016646442,-0.0008497321,0.0,0.16534616,0.21730483,-0.21008824,-0.018867325,-0.10414876,nan,0.22363532,0.4694836,0.7402635,0.6104986,0.36077043,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
16021487,16020819,0,nan,nan,0.08996953,0.101229794,0.9595031,0.0,0.0,0.0,0.17090344,0.16333207,-0.21415478,-0.30177683,0.0016646442,-0.0008497321,0.0,0.15247434,-0.004099307,-0.4444435,-0.016862672,-0.10414876,nan,0.18177408,0.4255603,0.7369065,0.5720152,0.35690737,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
16121473,16120676,0,nan,nan,0.095155455,0.102206476,0.95746195,0.0,0.0,0.0,0.17785697,0.16520421,-0.22105882,-0.28196347,0.0016646442,-0.0008497321,0.0,0.026851464,0.5646886,0.051425774,-0.013254351,-0.10414876,nan,0.208354,0.4728159,0.73355037,0.60845494,0.35308152,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
16222078,16221342,0,nan,nan,0.09977059,0.10210386,0.9436798,0.0,0.0,0.0,0.18481512,0.16081014,-0.2267401,-0.2753236,0.0016646442,-0.0008497321,0.0,0.33398265,0.12340602,0.14308389,-0.008470524,-0.10414876,nan,0.15221477,0.42794928,0.7303198,0.56644034,0.34933525,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
16321651,16321033,0,nan,nan,0.104441114,0.10059093,0.9188472,0.0,0.0,0.0,0.19773224,0.14368944,-0.23476711,-0.28198054,0.0016646442,-0.0008497321,0.0,0.32144633,0.02626211,0.026444634,-0.0072575533,-0.10414876,nan,0.1542561,0.4756656,0.7432992,0.60009533,0.3510587,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,0,0,1,0
